VA Station Number,HCS,Address,City,State,County FIPS,Cases,Active,Convalescent,Deaths
vha_460,460,1601 Kirkwood Highway,Wilmington,DE,10003.0,253.0,14.0,221.0,18.0
vha_460GA,460,21748 Roth Avenue,Georgetown,DE,10005.0,,,,
vha_460GC,460,1198 South Governors Avenue,Dover,DE,10001.0,,,,
vha_460GD,460,1 Munro Avenue,Cape May,NJ,34009.0,,,,
vha_460HE,460,1909 New Road,Northfield,NJ,34001.0,,,,
vha_460HG,460,79 West Landis Avenue,Vineland,NJ,34011.0,,,,
vha_460HK,460,1601 Kirkwood Highway,Wilmington,DE,10003.0,253.0,14.0,221.0,18.0
vha_463,463,1201 North Muldoon Road,Anchorage,AK,2020.0,92.0,12.0,79.0,1.0
vha_463GA,463,4076 Neeley Road,Fort Wainwright,AK,2090.0,,,,
vha_463GB,463,240 Hospital Place,Soldotna,AK,2122.0,,,,
vha_463GC,463,865 North Seward Meridian Parkway,Wasilla,AK,2170.0,,,,
vha_463GD,463,4300 Bartlett Street,Homer,AK,2122.0,,,,
vha_463GE,463,709 West 9th Street,Juneau,AK,2110.0,,,,
vha_463QA,463,5955 Zeamer Avenue,Joint Base Elmendorf-Richardson,AK,2020.0,,,,
vha_501,501,"1501 San Pedro Drive, Southeast",Albuquerque,NM,35001.0,178.0,9.0,155.0,14.0
vha_501G2,501,624 University Avenue,Las Vegas,NM,35047.0,,,,
vha_501GA,501,2410 West Main Street,Artesia,NM,35015.0,,,,
vha_501GB,501,3605 English Road,Farmington,NM,35045.0,,,,
vha_501GC,501,2950 Leslie Road,Silver City,NM,35017.0,,,,
vha_501GD,501,2075 South NM Hwy 602,Gallup,NM,35031.0,,,,
vha_501GE,501,105 South Coronado Avenue,Espanola,NM,35039.0,,,,
vha_501GH,501,1960 North Date Street,Truth or Consequences,NM,35051.0,,,,
vha_501GI,501,3199 North White Sands Boulevard,Alamogordo,NM,35035.0,,,,
vha_501GJ,501,1970 East Third Avenue,Durango,CO,8067.0,,,,
vha_501GK,501,5152 Beckner Road,Sante Fe,NM,35049.0,,,,
vha_501GM,501,"1760 Grande Boulevard, Southeast",Rio Rancho,NM,35043.0,,,,
vha_501GN,501,1353 Paseo Del Pueblo Sur,Taos,NM,35055.0,,,,
vha_501HB,501,1493 Whittier Street,Raton,NM,35007.0,,,,
vha_502,502,2495 Shreveport Highway,Pineville,LA,22079.0,,,,
vha_502GA,502,1907 Johnson Street,Jennings,LA,22053.0,,,,
